               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11016,            0.040437,                   0,            0.041178,            0.048485,            0.011589,           0.0027942,            0.094884,            0.030705,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.084955,            0.042796,                   0,              0.2306,              0.1697,             0.10265,            0.029388,            0.080954,            0.030313,                   0,            0.046842,           0.0058416,           0.0058416
                   2,             0.07073,            0.038994,                   0,            0.081198,             0.24848,            0.045006,            0.013315,            0.082198,            0.031643,                   0,            0.019724,           0.0087238,           0.0087238
                   3,            0.064021,            0.037155,                   0,             0.19231,              0.2697,             0.13132,            0.040315,            0.077083,            0.044267,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.059948,            0.035333,                   0,             0.44699,             0.33333,             0.32212,            0.099419,            0.060868,             0.04054,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053374,            0.034743,                   0,             0.51934,             0.52424,             0.47771,              0.1893,            0.054239,            0.025902,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.051417,            0.029419,                   0,             0.65742,             0.46364,             0.52942,             0.24798,            0.051522,            0.023495,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047777,            0.030034,                   0,             0.72053,             0.51515,              0.6323,              0.2906,            0.048676,            0.023871,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046264,            0.029625,                   0,             0.61395,             0.63333,             0.64073,             0.27887,            0.048266,            0.022614,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042705,            0.029562,                   0,             0.71877,             0.59394,             0.65884,             0.34502,            0.045698,            0.022697,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043456,            0.029515,                   0,             0.67635,             0.63333,             0.69028,             0.35185,            0.044531,            0.022337,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041802,            0.027992,                   0,             0.67791,             0.62121,             0.66298,             0.34377,            0.044437,            0.022553,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041082,            0.027556,                   0,             0.69269,             0.66667,             0.68016,             0.34566,            0.042511,            0.022308,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039449,            0.025775,                   0,             0.75642,             0.60227,             0.68369,             0.35168,            0.043083,            0.022176,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038439,            0.027089,                   0,             0.76927,             0.60606,             0.69321,             0.35015,            0.044787,            0.021755,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038895,            0.025261,                   0,             0.74626,             0.65152,             0.71473,             0.40188,             0.04141,             0.02296,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037674,            0.025809,                   0,             0.75061,             0.69091,             0.73632,             0.40098,            0.040527,            0.021682,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.035791,            0.025789,                   0,             0.75353,              0.6697,              0.7107,             0.38988,            0.040288,            0.022818,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035837,             0.02713,                   0,             0.76222,             0.64545,             0.69782,             0.39144,            0.041788,            0.023142,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036811,            0.026043,                   0,             0.74487,             0.69892,             0.75005,             0.41669,             0.03974,             0.02287,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.036386,            0.026523,                   0,              0.7813,             0.63333,              0.7103,             0.37509,            0.045434,            0.023753,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035385,            0.025261,                   0,             0.77028,             0.66061,             0.71633,             0.40523,            0.041987,            0.023704,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035504,            0.024899,                   0,             0.69762,             0.59697,             0.65641,             0.36594,             0.04363,            0.023877,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035155,            0.025428,                   0,             0.82036,             0.60606,             0.73057,             0.42254,            0.040582,            0.024067,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.032928,            0.023185,                   0,             0.77878,             0.63939,             0.71918,             0.41444,            0.040134,            0.025075,                   0,            0.007723,            0.007723,            0.007723
